idel/idop , 
1 , 0
2 , 0.092237
3 , 0.37638
4 , 0.0124281
5 , 0.491974
6 , 1.25434
7 , 0.208625
8 , 1.00386
9 , 1.91621
10 , 0.0147578
11 , 0.00334674
12 , 2.22102
13 , 0.451909
14 , 0.438534
15 , 0.000326592
16 , 0.0902343
17 , 0.26259
18 , 0.228957
19 , 0.352634
20 , 0.564901
21 , 5.25456e-05
22 , 0.000271091
23 , 1.04719
24 , 3.58148
25 , 3.13356
26 , 1.32104
27 , 2.57541
28 , 1.44846
29 , 0.414559
30 , 0.0251769
31 , 0.342029
32 , 0.00900073
33 , 0.834312
34 , 4.47378
35 , 1.38766
36 , 26.3595
37 , 67.708
38 , 95.8125
39 , 154.196
40 , 258.01
41 , 393.105
42 , 526.235
43 , 870.172
44 , 1220.23
45 , 822.138
46 , 575.808
47 , 1575.44
48 , 2284.38
49 , 2067.94
50 , 2197.41
51 , 2456.93
52 , 2493.52
53 , 2975.28
54 , 2204.16
55 , 1497.28
56 , 959.545
57 , 640.358
58 , 461.437
59 , 486.106
60 , 350.44
61 , 272.379
62 , 203.808
63 , 145.94
64 , 106.873
65 , 81.2643
66 , 24.9826
67 , 3.39681
68 , 0.214207
69 , 3.38172
70 , 1.44526
71 , 0.536349
72 , 0.0408784
73 , 0.400155
74 , 1.82728
75 , 1.68982
76 , 1.43505
77 , 0.183594
78 , 1.52519
79 , 3.82234
80 , 0.677416
81 , 1.39952
82 , 6.56839
83 , 0.184256
84 , 0.0104925
85 , 0.569121
86 , 0.344317
87 , 1.58246
88 , 0.391623
89 , 2.22814
90 , 0.400723
91 , 0.190605
92 , 0.253421
93 , 0.194456
94 , 0.803203
95 , 0.850839
96 , 3.01351
97 , 0.0783113
98 , 0.323529
99 , 0.00284564
100 , 0.15223