idel , 
1 , -0.157847
2 , -2.35126
3 , 2.0242
4 , -2.95751
5 , 2.41833
6 , -0.0313097
7 , -1.97496
8 , 2.84874
9 , -3.52615
10 , -0.0424559
11 , 1.26186
12 , -0.0300586
13 , 0.39714
14 , -0.977654
15 , 2.39342
16 , -0.306179
17 , 2.12153
18 , -1.32171
19 , -0.78032
20 , 2.46444
21 , 0.805571
22 , 1.99657
23 , -0.308817
24 , 4.73419
25 , -0.0224161
26 , -2.41569
27 , 1.26137
28 , -0.540976
29 , 1.92917
30 , -2.16292
31 , 1.75077
32 , -2.05325
33 , 0.0481324
34 , 0.873713
35 , 5.41389
36 , 12.3103
37 , 19.2956
38 , 26.0068
39 , 28.5788
40 , 31.3943
41 , 37.0492
42 , 36.1066
43 , 50.3397
44 , 69.0458
45 , 102.756
46 , 121.418
47 , 146.713
48 , 214.569
49 , 242.344
50 , 265.483
51 , 232.742
52 , 195.135
53 , 190.178
54 , 160.085
55 , 132.667
56 , 121.53
57 , 120.736
58 , 139.161
59 , 147.405
60 , 123.965
61 , 84.645
62 , 60.2928
63 , 40.215
64 , 25.0503
65 , 19.0174
66 , 13.2097
67 , 8.85722
68 , -0.140837
69 , -0.316714
70 , 3.53208
71 , -1.14929
72 , 0.832356
73 , 0.727087
74 , 2.84706
75 , 0.60321
76 , -1.06902
77 , 1.16457
78 , 2.6932
79 , 2.64861
80 , 0.794517
81 , -0.725478
82 , 4.75391
83 , 0.7781
84 , -0.118612
85 , 1.78445
86 , -2.34064
87 , -1.64258
88 , 3.46162
89 , 1.83646
90 , 1.15348
91 , -2.46061
92 , 0.986342
93 , -3.25734
94 , 1.83294
95 , -0.121789
96 , -0.888292
97 , -1.31364
98 , -0.24297
99 , 0.971898
100 , 1.35464